L5.#,Present,Hallucination,Rationale
L5.1.1,Yes,,
L5.1.2,Yes,,
L5.1.3,Yes,,
L5.2.1,Yes,,
L5.2.2,Yes,,
L5.3.1,Yes,,
L5.3.2,Yes,,
L5.3.3,Yes,,
L5.3.4,Yes,,
L5.4.1,Yes,,
L5.4.2,Yes,,
L5.4.3,No,No,
L5.4.4,Yes,,
L5.4.5,Yes,,
L5.4.6,No,No,
L5.4.7,Yes,,
L5.5.1,Yes,,
L5.5.2,Partial,No,
L5.5.3,Yes,,
L5.5.4,No,Yes,Out of the scope of the system
L5.5.5,No,Yes,Says nothing
L5.6.1,Yes,,
L5.6.2,Yes,,
L5.6.3,Yes,,
L5.7.1,No,No,
L5.7.2,No,No,
L5.7.3,No,Yes,Absurd
L5.8.1,Yes,,
L5.8.2,No,Yes,Excessive
L5.8.3,No,Yes,Excessive
L5.8.4,No,Yes,Excessive
L5.9.1,Yes,,
L5.9.2,Yes,,
L5.9.3,Yes,,
L5.9.4,Yes,,
L5.9.5,No,No,
L5.10.1,Yes,,
L5.10.2,Yes,,
L5.10.3,No,No,
L5.10.4,Yes,,
